Key,Value
FuncText44,未设置通关地下城物品
FuncText44,通关地下城物品类别错误
FuncText57,Attack
FuncText57,Defence
FuncText57,没有对应套装
FuncText57,没有对应阶段（已全部压制）
FuncText57,SelectedAttack
FuncText57,SelectedDefence
FuncText61,『蕾蒂库尔』
FuncText61,『喜七兴业』
FuncText61,『TDLR』
FuncText61,『蕾蒂库尔』
FuncText61,『喜七兴业』
FuncText61,『TDLR』
FuncText61,被
FuncText61,拥有所有权
FuncText61,『
FuncText61,』
FuncText61,正在尝试夺取◆
FuncText61,◆
KeyName,RightControl
FunctionNameToBind,InpActEvt_RightControl_K2Node_InputKeyEvent
KeyName,Gamepad_RightThumbstick
FunctionNameToBind,InpActEvt_Gamepad_RightThumbstick_K2Node_InputKeyEvent
KeyName,LeftControl
FunctionNameToBind,InpActEvt_LeftControl_K2Node_InputKeyEvent
InternalVariableName,DefaultSceneRoot
