Key,Value
FuncText1,检测到0数据存档
FuncText15,已拥有
FuncText15,未解锁
FuncText15,未抽中
FuncText17,没有DeadData
FuncText17,
FuncText17,
FuncText18,HellData中不存在该ID
FuncText23,不存在的亡者数据
FuncText36,的HP
FuncText36,恢复
FuncText36,到
FuncText37,的MP
FuncText37,恢复
FuncText37,到
FuncText38,的VP
FuncText38,恢复
FuncText38,到
FuncText39,的LKS
FuncText39,恢复
FuncText39,到
FuncText40,的MNT
FuncText40,恢复
FuncText40,到
FuncText41,的CON
FuncText41,恢复
FuncText41,到
FuncText42,的花朵已删除
FuncText43,的MAXHP
FuncText43,上升
FuncText43,到
FuncText44,的Tec
FuncText44,上升
FuncText44,到
FuncText45,的ATK
FuncText45,上升
FuncText45,到
