Key,Value
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,突然的猛烈火焰
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,Attack1
Description_17_520D684F486E772339EF57A0D0C115F1,结果演变为中等威力的火焰喷射\n而且还会波及范围
Comment_47_BB14A73B440FEAF49F33B381A02819EF,灯
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,火焰剑
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,Attack2
Description_17_520D684F486E772339EF57A0D0C115F1,通过过量供应燃料，火焰化作剑刃\n以巨大威力将对象灼烧斩裂
Comment_47_BB14A73B440FEAF49F33B381A02819EF,灯
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,助跑后的一击很痛
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,Attack3
Description_17_520D684F486E772339EF57A0D0C115F1,会让本人和对象都猝不及防\n意外性的小威力打击
Comment_47_BB14A73B440FEAF49F33B381A02819EF,灯
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,导弹灯
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,Attack4
Description_17_520D684F486E772339EF57A0D0C115F1,因意外事故造成中等威力打击\n所幸本人并未受伤
Comment_47_BB14A73B440FEAF49F33B381A02819EF,灯
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,当前所需的营养素
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,Attack5
Description_17_520D684F486E772339EF57A0D0C115F1,偷藏的点心我就不客气了\n自身当然会进行小恢复
Comment_47_BB14A73B440FEAF49F33B381A02819EF,灯：HP恢复20%
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,终焉之灯
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,VibeSkill
Description_17_520D684F486E772339EF57A0D0C115F1,放飞自我的超威力火焰之剑\n将挥砍范围内的目标焚尽
Comment_47_BB14A73B440FEAF49F33B381A02819EF,灯
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,扫
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,Attack1
Description_17_520D684F486E772339EF57A0D0C115F1,适合奇袭的小威力打击\n没空去窥探
Comment_47_BB14A73B440FEAF49F33B381A02819EF,一之濑
SkillName_12_CF3050FF41BCE9725C0AE097067ECF84,波岚之运
AnimationName_69_CFE9CF7D41451EFE0F966783A13C4E09,Attack2
