Key,Value
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,水川京加
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,亡者的测试数据A
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,堀濑明奈
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,亡者的测试数据B
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,宇喜泽雪根
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,亡者的测试数据C
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,灯
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,死后坠入地狱的少女。<lf>本应作为亡者遭受折磨，<lf>却因8246的妙计成了员工。
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,一之濑
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,担任厅总务课主任的精英。<lf>与8246可谓天壤之别，却是段孽缘，<lf>常以指导或监查的名义纠缠不清。
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,地狱公使
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,在地狱也格外耀眼的奇装少女。<lf>身份不明，但无疑是个怪人。<lf>无拘无束、无计划、无神经。
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,MEzz
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,被长期废弃的医疗器材。<lf>本旨在于服务他人，<lf>但根据用法也能用于相反用途。
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,切陆
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,无差别袭击地狱居民的灾厄，<lf>被称为鬼戮，令人闻风丧胆。<lf>武器是无数把美工刀。
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,伊合道
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,看似不合时宜的武士，实际正是如此。<lf>为追求自己的道而行走地狱。<lf>空格多余了。
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,雷卡
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,瞄准一夜暴富的血气方刚的独狼。<lf>真面目成谜，不过八成没人感兴趣。<lf>当然进不了便利店。
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,乌蒂娜
