Key,Value
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,可乐
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,炒得火热登场的新型可乐<lf>直击脊髓的刺激大受欢迎
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,HP恢复最大HP的25%
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,瓶装可乐
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,那份兴奋以家庭装登场<lf>进攻姿态毫不松懈，刺激也加倍
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,HP恢复最大HP的50%
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,大瓶可乐
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,配方自然是秘不外传<lf>在老城区的工厂里偷偷熬制
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,HP恢复最大HP的75%
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,运动饮料
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,补充体内流失物质的饮品<lf>特征就是味道陌生，喝不习惯
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,MP恢复25
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,瓶装运动饮料
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,喝不惯的味道翻倍登场<lf>无论什么都该尝试一下
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,MP恢复50
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,大瓶运动饮料
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,能用这个尺寸补充的场合似乎不多<lf>但就是现在这个时机
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,MP恢复75
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,葡萄饮料
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,化学水果味很带感的碳酸饮料<lf>缠人的甜味沁人心脾
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,VP恢复25
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,瓶装葡萄饮料
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,贪心的人这下也满足了<lf>用全身接住这股甜蜜的暴力吧
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,VP恢复50
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,大瓶葡萄饮料
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,化学水果味多到不行<lf>喝到肚圆，尽情享受吧
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,VP恢复75
Name_3_5C8A0E8C487386E349B13D907C6AF8E1,炸鸡块
Description_13_7CD1A9564B14DDD14E5067A75DCB1CA8,盒装炸鸡块<lf>规则是猜拳抢部位
Comment_30_991A8D944BCA0FBE4CD5D1A1CD2E6D3B,地下城移动及处理后<lf>HP恢复最大HP的10%
