Key,Value
FuncText0,
FuncText37,Voice
FuncText37,7EE065B647BAF664D4081996B9798812
FuncText37,
FuncText37,Sound
FuncText37,D1FC551E43386A69075331ACFD7A17E9
FuncText37,
FuncText37,Text
FuncText37,DDEF43694E8BCB3AC23C98BF995DE688
FuncText37,
FuncText37,System
FuncText37,87A7E42D4C564D243C68A998CDDF39D0
FuncText37,
ComponentPropertyName,W_Config_Button_Widget_Battle
DelegatePropertyName,Tab_Button_Click
FunctionNameToBind,BndEvt__W_MainConfig_W_Config_Button_Widget_Battle_K2Node_ComponentBoundEvent_0_Tab_Button_Click__DelegateSignature
ComponentPropertyName,WBP_CloseGame
DelegatePropertyName,ClickButton
FunctionNameToBind,BndEvt__W_MainConfig_WBP_CloseGame_K2Node_ComponentBoundEvent_11_ClickButton__DelegateSignature
ComponentPropertyName,WBP_Title
DelegatePropertyName,ClickButton
FunctionNameToBind,BndEvt__W_MainConfig_WBP_Title_K2Node_ComponentBoundEvent_9_ClickButton__DelegateSignature
ComponentPropertyName,WBP_Back
DelegatePropertyName,ClickButton
FunctionNameToBind,BndEvt__W_MainConfig_WBP_Back_K2Node_ComponentBoundEvent_7_ClickButton__DelegateSignature
ComponentPropertyName,W_Config_Button_Widget_Voice
DelegatePropertyName,Tab_Button_Click
FunctionNameToBind,BndEvt__W_MainConfig_W_Config_Button_Widget_Voice_K2Node_ComponentBoundEvent_6_Tab_Button_Click__DelegateSignature
ComponentPropertyName,W_Config_Button_Widget_Sound
DelegatePropertyName,Tab_Button_Click
FunctionNameToBind,BndEvt__W_MainConfig_W_Config_Button_Widget_Q-Load_K2Node_ComponentBoundEvent_5_Tab_Button_Click__DelegateSignature
ComponentPropertyName,W_Config_Button_Widget_Text
DelegatePropertyName,Tab_Button_Click
FunctionNameToBind,BndEvt__W_MainConfig_W_Config_Button_Widget_Load_K2Node_ComponentBoundEvent_4_Tab_Button_Click__DelegateSignature
ComponentPropertyName,W_Config_Button_Widget_System
DelegatePropertyName,Tab_Button_Click
FunctionNameToBind,BndEvt__W_MainConfig_W_Config_Button_Widget_Save_K2Node_ComponentBoundEvent_3_Tab_Button_Click__DelegateSignature
Text_1,
Text_2,51E9D3A84D98EF674B163AA93DA6D841
Text_3,System
Button_Text_1,
Button_Text_2,49B652F44A312B3638BB0B9F8214F90F
Button_Text_3,Battle
Button_Text_1,
Button_Text_2,F8E24D714F703E625765C49D63DA5D3A
Button_Text_3,Sound
Button_Text_1,
Button_Text_2,B50B04CB4FFC4301D28A0383145A6F91
Button_Text_3,System
Button_Text_1,
Button_Text_2,702ABE514FA0ED09208E81992A231DFE
Button_Text_3,Text
Button_Text_1,
Button_Text_2,01085BE44D48670BF7FAEF9B6673AF96
Button_Text_3,Voice
ButtonText,返回
ButtonText,结束游戏
ButtonText,初始化设置
ButtonText,返回标题
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,WBP_Title
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,WBP_InitSetting
WidgetToFocus,WBP_Title
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,WBP_CloseGame
WidgetToFocus,Focus to Contents from Top
WidgetToFocus,WBP_CloseGame
WidgetToFocus,WBP_Back
